Rank,Player,GP,MSR,Min,PTS,FGM,FGA,FG%,3PTM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,Plus Minus,European Archetype
182,AK Okereke,1,14.37,14.7,5,2,4,50,1,2,50,0,0,0,2,2,4,1,2,0,2,3,-1,
183,Ja'Kobi Gillespie,1,14.25,22.7,12,5,13,38.5,2,6,33.3,0,1,0,3,0,3,6,1,2,1,3,-10,
184,Josh Dix,1,14.09,23.9,8,3,6,50,2,5,40,0,0,0,0,2,2,1,1,0,0,0,-3,
185,Maliq Brown,1,14.08,22.8,2,0,2,0,0,1,0,1,1,100,2,2,4,1,0,3,0,6,-7,
186,Boopie Miller,1,14.06,5.6,3,1,4,25,1,1,100,0,0,0,1,0,1,2,1,0,0,1,-6,
187,Donovan Atwell,1,14.03,15.3,6,2,4,50,2,4,50,0,1,0,0,1,1,0,0,1,0,0,3,
188,Jaylen Martin,1,13.91,18.1,4,0,6,0,0,4,0,2,2,100,1,3,4,3,4,1,0,0,-13,
189,Tamar Bates,1,13.9,21,9,4,6,66.7,1,3,33.3,0,0,0,1,2,3,2,0,1,0,2,-16,
190,Kingston Flemings,1,13.86,23.7,5,2,7,28.6,1,3,33.3,0,1,0,1,0,1,8,1,1,1,2,19,
191,Fletcher Loyer,1,13.73,12,7,3,5,60,1,3,33.3,0,0,0,0,3,3,1,0,0,0,0,6,
192,Milos Uzan,1,13.71,29.6,5,2,9,22.2,1,3,33.3,0,0,0,0,4,4,5,0,0,0,2,17,
193,Chance McMillian,1,13.69,11.9,4,1,5,20,0,2,0,1,1,100,1,0,1,0,1,0,0,3,-15,
194,Ryan Kalkbrenner,1,13.4,26.3,8,4,6,66.7,0,0,0,0,1,0,6,2,8,5,4,0,2,0,-5,
195,Sion James,1,13.39,26.9,6,2,10,20,2,8,25,0,0,0,1,4,5,4,4,0,0,3,13,
196,Darius Brown II,1,13.29,28.2,5,1,6,16.7,0,3,0,2,4,50,0,3,3,7,2,1,0,3,-2,
197,Oscar Cluff,1,13.21,21.1,6,3,5,60,0,2,0,0,1,0,2,7,9,1,0,1,2,2,10,
198,Christoph Tilly,1,13.16,15.2,10,5,7,71.4,0,0,0,0,0,0,2,5,7,1,1,0,0,2,5,
199,Matt Rogers,1,13.08,22,7,3,8,37.5,1,3,33.3,0,0,0,2,1,3,3,0,0,0,1,6,
200,Emanuel Miller,1,12.87,22.4,7,3,6,50,1,3,33.3,0,0,0,2,3,5,1,4,0,0,2,-14,
201,Peter Suder,1,12.83,14.3,3,1,4,25,1,2,50,0,0,0,1,4,5,2,2,1,0,2,11,
202,Liam Robbins,1,12.82,16.2,4,2,2,100,0,0,0,0,0,0,1,3,4,1,3,0,1,2,-11,
203,Colin Castleton,1,12.51,23.1,3,1,2,50,1,2,50,0,1,0,1,0,1,1,0,1,0,1,-13,
204,Andrew Carr,1,12.25,9.5,2,0,3,0,0,2,0,1,1,100,1,1,2,0,0,0,1,3,-4,
205,Mohamed Diawara,1,12.24,23.3,7,1,9,11.1,1,7,14.3,2,3,66.7,1,5,6,0,3,0,0,1,-39,
206,Quincy Olivari,1,12.08,10.8,4,1,2,50,0,1,0,1,2,50,0,1,1,2,1,1,0,2,-9,
207,Kaodirichi Akobundu-Ehiogu,1,11.89,12.9,2,1,1,100,0,0,0,0,0,0,0,0,0,0,0,1,1,2,-2,
208,Jameer Nelson Jr.,1,11.53,19.3,4,0,7,0,0,1,0,2,4,50,1,5,6,3,3,3,1,1,5,
209,Chris Mañon,1,11.44,24.4,4,2,4,50,0,2,0,0,1,0,1,3,4,5,3,2,0,4,5,
210,Duke Miles,1,11.43,16.7,3,1,3,33.3,1,3,33.3,0,0,0,0,2,2,5,1,0,0,1,9,
211,Julian Reese,1,11.38,20.5,6,1,3,33.3,0,0,0,2,5,40,1,3,4,1,2,1,0,5,-14,
212,Zach Freemantle,1,11.37,6.7,2,0,0,0,0,0,0,1,1,100,0,1,1,0,0,0,0,1,0,
213,Johnell Davis,1,11.3,3,3,1,2,50,1,2,50,0,0,0,0,0,0,0,1,0,0,0,0,
214,Zach Cleveland,1,11.29,11.2,4,2,3,66.7,0,0,0,0,0,0,0,1,1,3,1,2,0,0,18,
215,Miller Kopp,1,11.13,10.3,6,2,5,40,2,5,40,0,0,0,0,0,0,0,0,0,0,0,1,
216,Jaden Akins,1,11.04,21.4,2,0,5,0,0,3,0,1,1,100,0,0,0,2,2,0,0,4,-31,
217,Tyon Grant-Foster,1,11.03,3.3,2,1,1,100,0,0,0,0,0,0,0,1,1,0,1,0,1,0,-1,
218,Malevy Leons,1,10.91,25.7,8,4,9,44.4,0,2,0,0,1,0,3,5,8,0,1,1,0,2,-5,
219,Jaylin Williams,1,10.89,12.2,4,2,3,66.7,0,1,0,0,0,0,2,2,4,0,1,1,1,1,8,
220,Giovanni Emejuru,1,10.7,19,2,0,4,0,0,0,0,1,2,50,4,4,8,0,1,0,0,4,8,
221,Rasheer Fleming,1,10.42,24.9,6,3,9,33.3,0,4,0,0,0,0,3,7,10,1,2,2,2,1,-4,
222,Felix Okpara,1,10.28,19.5,4,2,6,33.3,0,0,0,0,0,0,3,3,6,2,2,1,0,3,18,
223,Boo Buie,1,10.03,3.3,2,1,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-7,
224,Jesse Edwards,1,10.01,10.1,2,1,1,100,0,0,0,0,0,0,0,0,0,1,1,0,1,3,-20,
225,Jamir Watkins,1,10,20,2,1,2,50,0,0,0,0,0,0,1,3,4,0,0,1,0,9,7,
226,Tobi Lawal,1,9.94,13.8,5,2,6,33.3,1,3,33.3,0,0,0,2,2,4,1,0,0,1,0,-8,
227,Jalen Bridges,1,9.87,15,4,2,3,66.7,0,1,0,0,0,0,1,3,4,0,0,1,0,0,-2,
228,Dain Dainja,1,9.84,12.4,6,3,5,60,0,0,0,0,0,0,4,2,6,0,1,0,1,1,-3,
229,Erik Stevenson,1,9.72,24.7,6,3,8,37.5,0,4,0,0,0,0,0,3,3,0,1,3,1,5,-2,
230,Jack Clark,1,9.59,10.6,3,1,3,33.3,1,2,50,0,0,0,0,2,2,0,0,2,1,2,-17,
231,Corey Camper Jr.,1,9.04,15.4,4,2,4,50,0,1,0,0,0,0,1,0,1,1,0,1,0,0,10,
232,Jaden Henley,1,8.88,13.8,4,2,4,50,0,1,0,0,1,0,0,2,2,1,2,0,1,0,5,
233,Michael Foster Jr.,1,8.79,14.9,4,2,5,40,0,1,0,0,0,0,2,1,3,0,3,2,3,4,3,
234,Tamin Lipsey,1,8.72,18.2,4,2,4,50,0,1,0,0,1,0,1,3,4,0,1,1,0,2,-5,
235,Riley Minix,1,8.69,24.6,10,5,15,33.3,0,6,0,0,1,0,2,3,5,1,1,0,0,5,-25,
236,Seth Trimble,1,8.57,11.7,2,1,2,50,0,1,0,0,0,0,2,1,3,3,0,2,0,1,6,
237,Nate Ament,1,8.42,17.3,6,3,7,42.9,0,3,0,0,0,0,1,2,3,2,1,0,0,1,-5,
238,Jacob Toppin,1,8.29,11.9,2,1,2,50,0,0,0,0,0,0,1,1,2,0,0,0,1,1,10,
239,Bogoljub Marković,1,8.21,20.1,6,3,10,30,0,2,0,0,0,0,1,4,5,2,0,0,2,2,-5,
240,Malik Dia,1,8.18,11.8,6,3,6,50,0,1,0,0,1,0,0,3,3,0,0,0,0,1,-4,
